ID_Fundador;Nombre_Fundador
1;Ángel Ramos
2;José Ramón Quiñónez
3;Jerry Perenchio
4;NULL
5;Abraham Mendívil 
6;Joaquín Agusty
7;Hermanos Behn
8;NULL
9;Guillermo V. Cintrón
10;Ferré-Rangel
11;NULL
12;NULL
13;Gaspar Roca
14;NULL
15;NULL
16;NULL
17;Roberto Suárez
18;NULL
19;NULL
20;NULL
21;NULL
22;Rafael Delgado Márquez
23;Luisa García Pelatti
24;Iván Chaar-López
25;Alberto Rojas Jiménez
26;Raúl Silva Castro
27;Rafael Yépez Alvear
28;Vicente Pierantoni Perez
29;NULL
30;Juan J. Nogueras de la Cruz
31;Miguel Pérez Pirela
32;NULL
33;Ricardo Angulo
34;Matthew Angulo
35;Omaya Sosa Pascual
36;Oscar J. Serrano
37;Mayra Lebrón
