ID_Fundador;Nombre_Fundador
1;Ángel Ramos
2;José Ramón Quiñónez
3;Jerry Perenchio
4;NULL
5;Abraham Mendívil 
6;Joaquín Agusty, Hermanos Behn
7;NULL
8;Guillermo V. Cintrón
9;Ferré-Rangel
10;NULL
11;NULL
12;Gaspar Roca
13;NULL
14;NULL
15;NULL
16;Roberto Suárez
17;NULL
18;NULL
19;NULL
20;NULL
21;Rafael Delgado Márquez
22;Luisa García Pelatti
23;Iván Chaar-López
24;Alberto Rojas Jiménez, Raúl Silva Castro y Rafael Yépez Alvear
25;Vicente Pierantoni Perez
26;NULL
27;Juan J. Nogueras de la Cruz
28;Miguel Pérez Pirela
29;NULL
30;Ricardo Angulo, Matthew Angulo
31;Omaya Sosa Pascual, Oscar J. Serrano
32;Mayra Lebrón
