ID_Medio;Region;Comuna;Nombre_Medio;Pais;Continente;Año_Fundacion
1;Metro;San Juan;Telemundo;Puerto Rico;America del Norte;28-03-1954
2;Metro;Guaynabo;WAPA TV;Puerto Rico;America del Norte;01-05-1954
3;Texas;San Antonio;Univisión TV;Estados Unidos;America del Norte;30-09-1962
4;California;Los Angeles;Uforia Audio Network;Estados Unidos;America del Norte;1987
5;Metro;San Juan;El Imparcial;Puerto Rico;America del Norte;1918
6;Metro;San Juan;Radio Isla;Puerto Rico;America del Norte;15-10-1949
7;NULL;NULL;Nuestro Puerto Rico;Puerto Rico;America del Norte;NULL
8;Metro;San Juan;El Nuevo Día;Puerto Rico;America del Norte;1909
9;Metro;San Juan;Primera Hora;Puerto Rico;America del Norte;1997
10;Metro;San Juan;Metro Puerto Rico;Puerto Rico;America del Norte;2007
11;Metro;San Juan;Noticiel;Puerto Rico;America del Norte;NULL
12;Metro;San Juan;El Vocero;Puerto Rico;America del Norte;1974
13;Metro;San Juan;El Calce;Puerto Rico;America del Norte;2012
14;Metro;San Juan;El Expreso de Puerto Rico;Puerto Rico;America del Norte;NULL
15;Metro;San Juan;El Post Antillano;Puerto Rico;America del Norte;NULL
16;Florida;Miami;El Nuevo Herald;Estados Unidos;America del Norte;1976
17;Metro;San Juan;El Adoquin Times;Puerto Rico;America del Norte;2005
18;Oeste;Aguadilla;La Isla Oeste;Puerto Rico;America del Norte;NULL
19;Metro;San Juan;NotiUno;Puerto Rico;America del Norte;05-11-1957
20;Metro;San Juan;Radio Universidad de Puerto Rico;Puerto Rico;America del Norte;1949
21;Metro;San Juan;WIPR-TV;Puerto Rico;America del Norte;1958
22;Metro;San Juan;Sin Comillas;Puerto Rico;America del Norte;2007
23;Metro;San Juan;80grados.net;Puerto Rico;America del Norte;2010
24;Metro;San Juan;Claridad;Puerto Rico;America del Norte;1959
25;Sur;Ponce;El Oriental;Puerto Rico;America del Norte;NULL
26;Metro;San Juan;El Sol de Puerto Rico;Puerto Rico;America del Norte;NULL
27;Sur;Ponce;La Perla del Sur;Puerto Rico;America del Norte;NULL
28;NULL;NULL;La iguana TV;Puerto Rico;America del Norte;NULL
29;NULL;NULL;La Calle TV;Puerto Rico;America del Norte;NULL
30;NULL;San Juan;The San Juan Daily Star;Puerto Rico;America del Norte;1959
31;NULL;San Juan;Periodismo Investigativo ;Puerto Rico;America del Norte;2007
32;Norte;Arecibo;Dialogo UPR;Puerto Rico;America del Norte;1986
