ID_SitioWeb;Nombre_SitioWeb;URL
1;Telemundo;https://www.telemundo.com/
2;WAPA TV;https://www.wapa.tv/
3;Univisión TV;https://www.univision.com/
4;Uforia Audio Network;https://www.univision.com/radio
5;El Imparcial;https://www.elimparcial.es/
6;Radio Isla;http://radioisla1320.com/
7;Nuestro Puerto Rico;http://nuestropuertorico.com/
8;El Nuevo Día;https://www.elnuevodia.com/
9;Primera Hora;https://www.primerahora.com/
10;Metro Puerto Rico;https://www.metro.pr/
11;Noticiel;https://noticel.com/
12;El Vocero;https://www.elvocero.com/
13;El Calce;https://elcalce.com/
14;El Expreso de Puerto Rico;https://www.elexpresso.com/
15;El Post Antillano;https://elpostantillano.net/
16;El Nuevo Herald;https://www.elnuevoherald.com/
17;El Adoquin Times;https://eladoquintimes.com/
18;La Isla Oeste;http://laislaoeste.com/
19;NotiUno;http://notiuno.com/
20;Radio Universidad de Puerto Rico;http://www.wrtu.pr/
21;WIPR-TV;https://wipr.pr/
22;Sin Comillas;https://sincomillas.com/
23;80grados;https://www.80grados.net/
24;Claridad;https://claridadpuertorico.com/
25;El Oriental;https://periodicoeloriental.com/1/
26;El Sol de Puerto Rico;https://periodicoelsolpr.com/
27;La Perla del Sur;https://www.periodicolaperla.com/
28;La iguana TV;https://www.laiguana.tv/
29;La Calle TV;https://latvcalle.com/
30;The San Juan Daily Star;https://www.sanjuandailystar.com/
31;Periodismo Investigativo ;https://periodismoinvestigativo.com/
32;Dialogo UPR;https://dialogo.upr.edu/
